"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type"
1000001,640802,628632,GENERATOR
1000002,658896,570327,LOAD
1000003,640802,130317,GENERATOR
1000004,505359,209945,GENERATOR
1000005,505359,188953,GENERATOR
1000006,139213,307455,GENERATOR
1000007,393170,569776,GENERATOR
1000008,735081,185773,GENERATOR
1000009,193172,189981,GENERATOR
1000010,505359,196008,GENERATOR
1000011,108923,587533,GENERATOR
1000012,164205,794964,INTERTIE
1000013,505359,118485,GENERATOR
1000014,505359,174591,GENERATOR
1000015,505359,124574,GENERATOR
1000016,621200,152145,GENERATOR
1000017,640802,456702,GENERATOR
1000018,139213,195335,GENERATOR
1000019,800968,195469,INTERTIE
1000020,139213,164110,GENERATOR
1000021,195793,764895,GENERATOR
1000022,505359,840018,GENERATOR
1000023,775905,422151,GENERATOR
1000024,505359,360573,GENERATOR
1000025,189549,699344,GENERATOR
1000026,505359,211201,GENERATOR
1000027,798741,429532,GENERATOR
1000028,139213,121133,GENERATOR
1000029,126187,797281,LOAD
1000030,138185,187917,GENERATOR
1000031,104377,117370,GENERATOR
1000032,139213,129733,GENERATOR
1000033,126187,141497,GENERATOR
1000034,505359,889266,GENERATOR
1000035,662686,119063,GENERATOR
1000036,169693,563581,GENERATOR
1000037,712391,990961,GENERATOR
1000038,189093,181838,INTERTIE
1000039,680171,705542,GENERATOR
1000040,139213,725565,GENERATOR
1000041,602709,882763,GENERATOR
1000042,843852,203983,LOAD
1000043,183056,197004,INTERTIE
1000044,139213,736349,GENERATOR
1000045,525921,165699,GENERATOR
1000046,160711,121961,GENERATOR
1000047,139213,168279,GENERATOR
1000048,138185,178981,GENERATOR
1000049,138185,105474,GENERATOR
1000050,187496,890796,GENERATOR
1000051,505359,113103,GENERATOR
1000052,139213,198508,GENERATOR
1000053,505359,867677,GENERATOR
1000054,505359,850944,GENERATOR
1000055,206037,141402,INTERTIE
1000056,843852,163454,GENERATOR
1000057,165289,183428,GENERATOR
1000058,505359,104183,GENERATOR
1000059,838414,127378,GENERATOR
1000060,505359,143485,GENERATOR
1000061,930211,932856,GENERATOR
1000062,775905,112391,GENERATOR
1000063,505359,187185,GENERATOR
1000064,132683,184765,LOAD
1000065,108923,213260,GENERATOR
1000066,150355,429743,INTERTIE
1000067,794181,161069,GENERATOR
1000068,907664,859639,GENERATOR
1000069,139213,155124,GENERATOR
1000070,505359,480008,GENERATOR
1000071,505359,389995,GENERATOR
1000072,725439,591854,GENERATOR
1000073,680171,174744,GENERATOR
1000074,161295,886708,GENERATOR
1000075,717030,125951,GENERATOR
1000076,138185,178434,GENERATOR
1000077,139213,196445,GENERATOR
1000078,505359,165858,GENERATOR
1000079,187496,163688,GENERATOR
1000080,620982,153860,GENERATOR
1000081,139213,182435,GENERATOR
1000082,723920,467997,INTERTIE
1000083,743001,600664,GENERATOR
1000084,897276,190607,GENERATOR
1000085,662686,118279,GENERATOR
1000086,245368,580449,INTERTIE
1000087,324980,939948,GENERATOR
1000088,193932,111458,LOAD
1000089,915306,191168,GENERATOR
1000090,775905,257158,GENERATOR
1000091,199285,333327,INTERTIE
1000092,139213,152595,GENERATOR
1000093,679197,202531,GENERATOR
1000094,596881,963491,INTERTIE
1000095,600032,482688,GENERATOR
1000096,153531,888151,GENERATOR
1000097,139213,199635,LOAD
1000098,505359,319526,GENERATOR
1000099,139213,562854,GENERATOR
1000100,139213,222735,GENERATOR
1000101,139213,148980,GENERATOR
1000102,108923,117281,GENERATOR
1000103,766049,975528,GENERATOR
1000104,505359,528875,GENERATOR
1000105,339577,925285,INTERTIE
1000106,725439,346252,GENERATOR
1000107,139213,133202,GENERATOR
1000108,505359,189054,GENERATOR
1000109,393170,799822,LOAD
1000110,640802,175167,GENERATOR
1000111,913202,115837,LOAD
1000112,662686,700502,LOAD
1000113,187496,960261,GENERATOR
1000114,505359,153772,GENERATOR
1000115,242731,131843,LOAD
1000116,187496,652578,GENERATOR
1000117,187496,372718,GENERATOR
1000118,660085,124064,GENERATOR
1000119,132683,358008,GENERATOR
1000120,505359,940234,GENERATOR
1000121,718150,166623,LOAD
1000122,726182,785219,GENERATOR
1000123,522779,477057,GENERATOR
1000124,139213,212542,GENERATOR
1000125,913202,171438,LOAD
1000126,505359,204203,GENERATOR
1000127,139213,419838,GENERATOR
1000128,138185,314389,GENERATOR
1000129,245368,158253,GENERATOR
1000130,505359,261385,GENERATOR
1000131,187496,194654,GENERATOR
1000132,725439,114767,GENERATOR
1000133,139213,492199,GENERATOR
1000134,139213,155043,GENERATOR
1000135,443550,900843,GENERATOR
1000136,527846,951689,GENERATOR
1000137,137919,159739,GENERATOR
