"resource_xref","resource_mask","dyn_label","gen_type","max_bid"
1000001,155464,,,
1004939,709955,,,
1000003,185773,,,
1000005,178434,,,
1004940,200994,,,
1000011,544426,,,
1004941,190379,,,
1004942,110868,,,
1004943,214386,,,
1000017,381739,,,
1004944,102985,,,
1004945,673349,,,
1000024,560928,,,
1004946,524695,,,
1004947,137468,,,
1000029,127581,,,
1000030,158665,,,
1000031,154990,,,
1004948,761446,,,
1005513,499676,,,
1000035,184635,,,
1004949,156530,,,
1000038,119840,,,
1000039,213366,,,
1000040,993544,,,
1000041,143797,,,
1000042,780841,,,
1005514,585749,,,
1000045,725123,,,
1005515,231017,,,
1004950,689553,,,
1004951,347498,,,
1004952,423313,,,
1004953,102351,,,
1005516,870487,,,
1005095,587933,,,
1005517,111549,,,
1000057,134578,,,
1000058,536048,,,
1005518,707140,,,
1000060,614795,,,
1005519,612732,,,
1005096,689253,,,
1005097,723018,,,
1000064,149427,,,
1000067,155705,,,
1000068,742900,,,
1000069,742465,,,
1000070,272597,,,
1005098,172388,,,
1000073,204341,,,
1000074,540679,,,
1000075,823452,,,
1005099,318820,,,
1005520,555202,,,
1005100,915103,,,
1000080,262440,,,
1000081,951616,,,
1000083,834639,,,
1005101,701224,,,
1005102,595818,,,
1000086,143302,,,
1000087,798816,,,
1000090,108845,,,
1005103,173276,,,
1000092,683327,,,
1000093,410482,,,
1000094,879774,,,
1000095,233734,,,
1000096,286209,,,
1000099,187788,,,
1000100,176822,,,
1005104,149006,,,
1000105,142922,,,
1005521,113286,,,
1005105,953626,,,
1000108,974145,,,
1000109,674668,,,
1005106,358409,,,
1000112,900561,,,
1005522,927284,,,
1000115,131843,,,
1000116,907615,,,
1000117,224218,,,
1000118,165936,,,
1005107,607388,,,
1000142,114630,METEC_2_PL1X3,,597.05
1000199,213199,KELSO_2_UNITS,,198.03
1005523,139799,,,
1000123,369511,,,
1000124,163107,,,
1000125,183428,,,
1000126,393947,,,
1005524,832455,,,
1000129,744399,,,
1005525,830513,,,
1005526,328168,,,
1000132,131943,,,
1000133,904345,,,
1000134,919553,,,
1000135,129649,,,
1000136,568279,,,
1005527,117898,,,
1000138,135397,,,
1005528,735803,,,
1000140,192794,,,
1000147,196802,,,
1000148,715414,,,
1000150,660963,,,
1000151,285521,,,
1000154,447333,,,
1000155,386540,,,
1000157,580449,,,
1000159,171937,,,
1000160,891427,,,
1000161,661056,,,
1000162,171503,,,
1000163,185344,,,
1000164,691818,,,
1000167,347185,,,
1000168,126433,,,
1000172,185026,,,
1000173,189017,,,
1000175,202218,,,
1000176,439330,,,
1000182,200606,,,
1000183,189472,,,
1000188,146423,,,
1000190,202450,,,
1000191,532070,,,
1000192,904786,,,
1000193,723238,,,
1000195,836721,,,
1000197,996717,,,
1000202,794964,,,
1000203,693543,,,
1000206,720505,,,
1000208,736613,,,
1000210,696630,,,
1000212,219854,,,
1000216,179478,,,
1000217,644274,,,
1000219,150919,,,
1000221,163688,,,
1000222,134261,,,
1000028,123444,,,140
1000128,576455,,SOLAR,125
1000102,563581,,,150
1000177,145233,,SOLAR,125
1000165,828735,,,120.74
1000010,360176,,SOLAR,100
1000204,704863,,,100
1000185,131448,,SOLAR,100
1000018,173313,,SOLAR,100
1000196,517658,,,94.42
1000226,418791,,SOLAR,125
1000174,850538,,,75
1000077,435258,,,62.34
1000101,852416,,SOLAR,
1000072,736344,,,83.8
1000143,907297,,,55
1000088,237420,,SOLAR,62.5
1000181,146911,,SOLAR,
1000114,794739,,,80
1000014,154578,,SOLAR,
1000036,353349,,SOLAR,
1000144,206092,,SOLAR,
1000097,269465,,SOLAR,
1000004,874205,,SOLAR,
1000065,211349,,SOLAR,
1000052,116055,,SOLAR,
1000209,147407,,SOLAR,
1000044,961864,,SOLAR,
1000110,102291,,SOLAR,
1000019,321383,,SOLAR,
1000180,345623,,SOLAR,
1000223,975065,,SOLAR,
1000149,967390,,SOLAR,
1000207,186392,,SOLAR,
1000186,445378,,SOLAR,
1000089,173107,,SOLAR,
1000171,166765,,SOLAR,
1000008,672385,,SOLAR,
1000184,127538,,SOLAR,
1000066,231255,,SOLAR,
1000098,303733,,SOLAR,
1000179,548023,,SOLAR,
1000103,210352,,SOLAR,
1000009,155645,,SOLAR,
1000200,104714,,SOLAR,
1000048,191707,,SOLAR,
1000082,395131,,SOLAR,
1000047,398608,,SOLAR,
1000169,350305,,SOLAR,
1000022,117712,,SOLAR,
1000021,771288,,SOLAR,
1000006,140105,,SOLAR,
1000214,749205,,SOLAR,
1000013,167649,,SOLAR,
1000033,319098,,SOLAR,250
1000227,540268,,,
1000228,113060,,,
1000229,161298,,,
1000231,196798,,,
1000233,158924,,,
1000235,514564,,,
1000237,128777,,,
1000238,135881,,,
1004954,207715,,,
1004955,668708,,,
1000241,102417,,,
1000242,650703,,,
1004956,744890,,,
1004957,682674,,,
1000245,276445,,,
1000246,521146,,,
1004958,156611,,,
1000249,544145,,,
1004959,882020,,,
1000253,101787,,,
1000254,691906,,,
1004960,966701,,,
1000258,175167,,,
1000259,183275,,,
1004961,748067,,,
1000263,174554,,,
1004962,694850,,,
1000265,950113,,,
1000266,136331,,,
1000267,333327,,,
1000268,331507,,,
1005529,783922,,,
1005530,265287,,,
1004963,776952,,,
1000272,888151,,,
1004964,130476,,,
1000274,265960,,,
1004965,980683,,,
1004966,209326,,,
