"opr_date","pnodes_xref","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","pnodes_xref","node_id","yes_objectid"
2024-01-01,1004944,46.08000,45.32571,44.91129,44.56314,44.17126,42.61442,44.46233,45.23494,36.39075,28.78897,26.44054,22.84608,22.66000,22.36894,23.85693,37.86516,49.77848,50.71940,50.99369,51.06365,50.89036,50.44555,50.16388,47.29740,1004944,TH_SP15_GEN-APND,
2024-01-02,1004944,44.53664,43.89359,43.72221,43.97096,44.43286,48.40952,56.89019,57.28016,38.19555,28.87831,27.00376,26.42340,22.92473,21.93541,26.87915,41.58455,55.23071,57.75940,56.64223,56.52317,55.31230,54.66398,48.36017,47.09062,1004944,TH_SP15_GEN-APND,
2024-01-03,1004944,49.39750,49.24018,45.93774,44.84028,44.38602,49.32344,52.74837,52.60000,46.88579,38.47423,36.12302,34.71410,28.65070,27.03855,31.06349,40.09115,54.71921,56.91617,55.50909,55.38014,54.92503,54.32708,50.13689,48.57919,1004944,TH_SP15_GEN-APND,
2024-01-04,1004944,45.97142,44.70786,44.45258,44.16841,45.02343,51.50517,59.68781,52.91265,41.73940,22.47634,17.75280,15.02375,13.80864,10.19000,15.28070,42.03079,62.09384,63.15976,63.19274,63.26646,63.26320,62.86717,62.40746,61.43011,1004944,TH_SP15_GEN-APND,
2024-01-05,1004944,67.55964,60.17947,60.16522,59.57166,61.03876,68.96457,78.61273,71.06030,56.79425,42.41006,33.47617,27.26860,25.54982,23.58822,32.50330,54.58770,74.89766,75.66680,75.86552,75.89744,75.73283,75.46003,75.08906,74.85570,1004944,TH_SP15_GEN-APND,
2024-01-06,1004944,69.05713,68.48785,67.79525,66.84565,65.39704,68.76943,68.96363,64.93631,43.20961,32.75323,23.09253,22.20919,10.16647,8.28867,18.66000,41.47390,67.41662,68.16743,67.99516,67.53463,67.20484,67.80384,67.58157,66.58526,1004944,TH_SP15_GEN-APND,
2024-01-07,1004944,68.33823,63.77193,60.82637,60.23580,61.78692,68.01429,69.65000,62.28494,48.06323,26.25965,20.87158,17.90736,12.79694,12.65254,18.07778,48.10000,71.98545,75.38776,75.69000,75.80503,75.41262,75.35116,74.25191,73.15686,1004944,TH_SP15_GEN-APND,
2024-01-08,1004944,71.22661,70.43955,70.70219,70.70623,72.07684,89.73645,106.16906,101.20210,53.96309,42.59775,35.16194,35.77534,32.39407,30.40925,33.09000,60.14971,100.77538,103.55552,103.22581,101.81423,101.17378,100.67012,91.50492,85.14355,1004944,TH_SP15_GEN-APND,
2024-01-09,1004944,76.19290,70.99221,70.78193,70.70166,72.55794,81.37685,94.20499,82.68167,52.64170,43.14706,38.42303,32.83848,26.48226,20.90278,22.78692,55.44925,71.84988,74.94851,73.94801,73.76385,73.70763,73.91158,72.52580,66.55651,1004944,TH_SP15_GEN-APND,
2024-01-10,1004944,67.43231,66.82332,67.00960,66.35790,66.75710,76.33491,90.52976,79.11182,61.24718,47.06320,38.25508,33.05799,26.51130,22.77562,28.56948,59.53154,86.15364,90.86239,90.37961,89.38440,89.50873,89.66716,77.15219,72.89675,1004944,TH_SP15_GEN-APND,
