"opr_date","trading_hub","renewable_type","market_run_id","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","he25"
2024-04-04,NP15,SOLAR,DAM,0,0,0,0,0,0,2,159,490,751,850,855,886,974,1095,1181,1142,856,333,17,0,0,0,0,
2024-04-04,NP15,WIND,DAM,910,755,567,398,273,203,192,232,284,321,365,399,435,488,495,464,409,353,306,275,241,198,160,136,
2024-04-04,SP15,SOLAR,DAM,0,0,0,0,0,0,409,3550,7922,10050,10651,10825,10800,10652,10322,9647,8307,5279,1490,5,0,0,0,0,
2024-04-04,SP15,WIND,DAM,1037,1089,1186,1315,1451,1431,1249,1151,1242,1441,1699,1962,2214,2425,2530,2599,2649,2581,2455,2329,2140,1885,1662,1513,
2024-04-04,ZP26,SOLAR,DAM,0,0,0,0,0,0,3,154,569,1049,1357,1430,1396,1402,1500,1592,1552,1174,433,10,0,0,0,0,
2024-04-04,ZP26,WIND,DAM,35,39,42,43,44,40,34,29,23,19,20,29,35,41,41,42,43,39,34,30,22,19,19,23,
2024-04-05,NP15,SOLAR,DAM,0,0,0,0,0,0,3,274,821,1120,1209,1250,1259,1270,1249,1203,1093,830,344,21,0,0,0,0,
2024-04-05,NP15,WIND,DAM,106,82,86,105,127,133,138,139,132,122,110,97,83,83,87,90,90,88,90,112,159,219,283,329,
2024-04-05,SP15,SOLAR,DAM,0,0,0,0,0,0,422,3481,7732,9890,10532,10619,10380,10015,9468,8633,7355,4717,1380,6,0,0,0,0,
2024-04-05,SP15,WIND,DAM,1342,1271,1247,1248,1271,1335,1427,1544,1735,1978,2177,2324,2424,2466,2528,2626,2729,2830,2840,2818,2864,2958,3074,3175,
2024-04-05,ZP26,SOLAR,DAM,0,0,0,0,0,0,9,351,1054,1520,1710,1788,1776,1759,1723,1633,1429,1010,376,12,0,0,0,0,
2024-04-05,ZP26,WIND,DAM,26,27,30,32,36,32,33,30,33,32,36,39,42,45,50,54,59,60,61,62,61,59,56,49,
2024-04-06,NP15,SOLAR,DAM,0,0,0,0,0,0,8,493,1358,1782,1834,1838,1829,1819,1808,1760,1666,1292,523,30,0,0,0,0,
