"opr_date","pnodes_xref","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","pnodes_xref","node_id","yes_objectid"
2023-01-01,1004944,118.46735,113.12000,112.90633,108.42804,107.37058,110.41942,126.37723,122.23325,100.35572,79.28294,65.00000,57.41512,52.70220,46.57400,55.43014,86.14425,139.30050,153.96814,148.47351,146.86395,145.00000,145.00000,142.17303,131.83562,1004944,TH_SP15_GEN-APND,
2023-01-02,1004944,129.16826,123.00439,121.65262,117.80873,118.51802,129.95274,148.82643,143.57400,121.33604,108.76000,103.85806,103.93379,104.58679,104.53385,108.73363,130.39365,158.24321,172.59692,164.41182,161.09190,160.65813,156.49930,144.76720,137.15912,1004944,TH_SP15_GEN-APND,
2023-01-03,1004944,151.18486,144.85515,144.33588,142.78606,145.80140,160.99612,189.37883,189.90790,156.18076,148.42096,138.77432,135.62038,132.94109,129.43893,137.40144,162.09547,196.66492,207.21408,202.83644,199.94975,199.63000,191.38696,180.25092,162.38586,1004944,TH_SP15_GEN-APND,
2023-01-04,1004944,198.76376,196.13664,190.04974,196.33499,198.57993,210.67754,243.20609,248.17953,225.12400,211.78378,198.93819,197.16650,195.24446,195.62808,197.88104,220.69028,245.88931,260.82890,254.10452,247.03420,241.21855,226.06000,211.64050,210.13142,1004944,TH_SP15_GEN-APND,
2023-01-05,1004944,157.27327,151.26064,149.58890,152.67000,156.04437,170.00000,196.97511,199.07980,192.50282,180.40619,180.46468,176.03194,170.86974,167.57996,164.80704,187.90442,205.90150,213.89838,206.64684,203.62492,199.64015,186.05220,161.25737,161.59440,1004944,TH_SP15_GEN-APND,
2023-01-06,1004944,138.32843,137.60591,136.93636,137.91516,143.74030,170.60733,187.19000,178.46000,149.87502,126.37828,114.67511,104.21739,100.73000,101.70676,113.87742,141.94049,188.66320,207.48778,199.14977,192.14380,191.47823,180.68954,173.13208,157.17964,1004944,TH_SP15_GEN-APND,
2023-01-07,1004944,153.21470,154.60847,146.57349,149.38000,157.06451,160.00000,163.34311,156.77512,143.68085,129.19853,124.48431,123.81925,124.23443,124.45000,130.41551,143.26726,169.47100,177.14790,172.69713,170.09135,169.54526,165.83592,156.93350,147.82000,1004944,TH_SP15_GEN-APND,
2023-01-08,1004944,142.69308,136.26440,140.39873,136.76460,136.65672,136.08011,138.78294,139.89664,130.90560,118.97577,104.86696,102.73517,98.55083,96.81000,103.08175,129.37582,162.40600,175.81633,168.05995,163.84492,162.71786,155.79000,144.90100,140.80000,1004944,TH_SP15_GEN-APND,
2023-01-09,1004944,143.25455,140.34950,136.13318,135.54090,137.08405,152.13885,163.10358,175.51926,164.04091,145.69140,149.80520,143.35886,142.43820,143.62723,152.01000,178.13483,187.98330,200.32690,186.48985,183.63454,180.14328,170.46340,162.38832,153.78374,1004944,TH_SP15_GEN-APND,
2023-01-10,1004944,142.81941,138.45699,136.83000,135.44435,139.43623,151.62936,175.35138,184.48836,175.76471,156.35326,144.82670,137.86530,132.62000,132.36896,132.57214,144.58447,181.95404,193.41743,186.92917,183.20000,178.36768,172.20753,163.07360,157.28777,1004944,TH_SP15_GEN-APND,
2023-01-11,1004944,148.37277,141.99496,140.29424,141.08624,148.58318,166.32523,183.02142,180.21000,154.28557,141.29457,132.98473,132.37494,129.19356,125.66158,132.94408,154.04584,187.16734,196.64480,187.06374,184.94826,183.83183,173.94467,163.64000,162.15758,1004944,TH_SP15_GEN-APND,
2023-01-12,1004944,138.44933,132.93228,131.23930,131.80217,133.86823,149.91644,175.83000,169.91566,138.10834,128.24596,124.03461,121.24819,120.04253,117.46010,121.47613,140.54613,165.93729,178.08542,173.12828,167.02284,161.16953,151.17369,145.45000,143.00348,1004944,TH_SP15_GEN-APND,
2023-01-13,1004944,173.28670,168.80672,169.36575,170.62633,176.88841,200.41714,227.66821,219.61850,192.98760,180.11725,173.21326,167.70525,163.83853,161.03268,166.98624,186.37000,219.35610,225.92973,219.05832,211.28800,204.45210,190.93290,186.83922,182.06000,1004944,TH_SP15_GEN-APND,
2023-01-14,1004944,145.20210,138.25986,132.88367,128.48524,132.27159,134.42606,137.12575,139.86125,131.84845,125.25080,125.38531,122.75583,121.00847,119.02390,119.48990,134.37563,157.90965,169.85062,167.11000,159.18715,154.06060,139.43901,137.64941,130.07652,1004944,TH_SP15_GEN-APND,
2023-01-15,1004944,125.95381,124.48099,121.43000,120.88131,122.27522,124.50189,128.51456,128.79791,118.25356,106.62663,102.75000,100.06755,99.00000,99.97618,107.06777,124.25000,147.88617,167.48192,164.17796,158.68446,155.98016,143.76253,132.41483,130.29395,1004944,TH_SP15_GEN-APND,
2023-01-16,1004944,133.00000,125.75392,125.01133,125.20257,134.08401,137.35000,155.36275,164.54022,154.76736,137.17915,126.60977,117.91533,112.42594,109.34973,109.48549,125.80483,161.47697,186.32889,179.83228,172.97983,168.20690,157.53828,146.54886,136.48051,1004944,TH_SP15_GEN-APND,
2023-01-17,1004944,133.43881,129.58769,126.86094,126.35987,131.55373,143.27151,163.27060,164.99815,134.33649,104.63575,88.46861,79.91611,76.20323,74.51258,81.78159,115.88339,166.18333,206.90108,198.53464,195.46996,193.92322,179.20105,170.55542,158.18013,1004944,TH_SP15_GEN-APND,
2023-01-18,1004944,174.18575,172.36198,171.97073,174.66965,184.73824,223.71007,241.68694,232.32394,171.59981,145.84000,135.86324,130.94890,124.12220,127.28394,151.22720,170.22125,211.14006,234.83418,233.61761,221.96909,211.95036,201.90000,185.02977,177.91685,1004944,TH_SP15_GEN-APND,
2023-01-19,1004944,161.86550,155.61256,154.29913,153.34235,162.76743,187.46000,226.43895,200.03773,161.29292,139.91000,128.51933,113.95000,105.94057,103.85385,120.00739,150.02000,189.31800,208.08237,202.12007,194.54230,186.68024,180.58014,166.08826,162.45511,1004944,TH_SP15_GEN-APND,
2023-01-20,1004944,138.57463,135.97498,134.24220,148.40646,176.80264,203.04143,228.75398,181.98180,131.64288,102.37005,84.66526,70.58752,60.60965,59.57945,66.79909,113.62249,168.33167,185.56506,182.35358,172.82870,167.52841,162.37955,152.86560,143.62170,1004944,TH_SP15_GEN-APND,
2023-01-21,1004944,143.87056,135.00851,128.96250,128.68037,136.75452,144.86919,148.88586,143.08575,115.58907,72.70068,44.55291,37.81716,29.84000,29.32815,37.41000,85.82192,143.75842,152.86482,155.46169,147.68468,147.04556,147.75603,143.99300,136.95978,1004944,TH_SP15_GEN-APND,
2023-01-22,1004944,128.20451,121.69626,117.61248,116.16965,116.65139,119.92014,119.26846,115.99062,84.13657,35.42047,16.34255,8.25082,4.16584,4.11751,13.09578,59.60490,130.30853,148.54852,143.85484,144.43231,142.19608,139.06863,133.24535,126.60384,1004944,TH_SP15_GEN-APND,
