"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type","resource_xref","resource_mask","dyn_label","gen_type","max_bid","asset_xref","gen_xref","resource_id","classification","qf","resource_agg_type","parent_resource_id","resource_type","gen_unit_name","net_dependable_capacity","nameplate_capacity","pto_area","owner_or_qf","unit_type","energy_source","zone","cod","river_system","baa_id","udc"
1000003,640802,130317,GENERATOR,1000615,130317,,,85,1000003,,,,,,,,,,,,,,,,,,,
1000035,662686,119063,GENERATOR,1000958,119063,,,50,1000035,,,,,,,,,,,,,,,,,,,
1000036,169693,563581,GENERATOR,1000102,563581,,,150,1000036,,,,,,,,,,,,,,,,,,,
1000045,525921,165699,GENERATOR,1001419,165699,,,,1000045,,,,,,,,,,,,,,,,,,,
1000057,165289,183428,GENERATOR,1000125,183428,,,,1000057,,,,,,,,,,,,,,,,,,,
1000083,743001,600664,GENERATOR,1000323,600664,,,,1000083,,,,,,,,,,,,,,,,,,,
1000113,187496,960261,GENERATOR,1000658,960261,,,,1000113,,,,,,,,,,,,,,,,,,,
1000122,726182,785219,GENERATOR,1001159,785219,DSRTHV_2_DH2BT1,,,1000122,101850,DSRTHV_2_DH2BT1,Participating Unit,N,N,"",GEN,Desert Harvest BESS,35.00000000000000000,35.00000000000000000,SCE,Desert Harvest II LLC,OTHER,LESR,SP15,"2021-06-10",,CISO,SCE
1000155,104298,366805,GENERATOR,1000505,366805,,,,1000155,,,,,,,,,,,,,,,,,,,
1000159,505359,850538,GENERATOR,1000174,850538,,,75,1000159,,,,,,,,,,,,,,,,,,,
1000160,503624,241464,GENERATOR,1000847,241464,,,,1000160,,,,,,,,,,,,,,,,,,,
1000166,114347,639090,GENERATOR,1000336,639090,,,200,1000166,,,,,,,,,,,,,,,,,,,
1000180,600032,852445,GENERATOR,1001382,852445,,,,1000180,,,,,,,,,,,,,,,,,,,
1000200,575998,352614,GENERATOR,1001228,352614,,,61.16,1000200,,,,,,,,,,,,,,,,,,,
1000229,697298,296497,GENERATOR,1000741,296497,,,,1000229,,,,,,,,,,,,,,,,,,,
1000248,678841,432370,GENERATOR,1000864,432370,FIFTHS_2_FSSBT,,137,1000248,101949,FIFTHS_2_FSSBT,Participating Unit,N,N,"",GEN,Fifth Standard Battery,137.00000000000000000,137.00000000000000000,PGAE,"Fifth Standard Solar PV, LLC",OTHER,LESR,ZP26,"2023-09-15",,CISO,PGAE
1000250,747074,761691,GENERATOR,1001152,761691,,,65,1000250,,,,,,,,,,,,,,,,,,,
1000251,505359,198934,GENERATOR,1001199,198934,,,200,1000251,,,,,,,,,,,,,,,,,,,
1000255,525921,181128,GENERATOR,1000752,181128,,,,1000255,,,,,,,,,,,,,,,,,,,
