"opr_date","pnodes_xref","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","pnodes_xref","node_id","yes_objectid"
2023-01-01,1005002,119.51455,114.00266,112.82553,108.65000,107.50238,110.89439,126.76553,124.93580,104.92544,83.15000,69.72865,61.52571,55.29845,48.75427,58.17731,87.78306,139.81670,154.47675,148.09097,146.80334,145.00000,145.00000,139.99670,129.62000,1005002,TH_NP15_GEN-APND,
2023-01-02,1005002,126.75439,120.37321,118.86678,115.27726,115.59016,126.99000,145.95450,143.57400,123.91044,114.05897,109.79000,109.94595,110.00762,110.12859,112.41280,131.13177,159.58162,171.97530,164.47966,161.02544,159.99643,155.50279,143.72932,135.43764,1005002,TH_NP15_GEN-APND,
2023-01-03,1005002,148.69205,143.25960,143.42188,142.43555,144.70000,159.17204,185.90576,188.17384,158.51836,148.42096,138.32921,135.56420,132.72110,128.99767,137.44400,160.71460,192.94856,201.97243,198.58693,195.72331,195.15034,187.09883,177.12857,159.05537,1005002,TH_NP15_GEN-APND,
2023-01-04,1005002,195.73045,193.78291,189.04234,196.31494,198.09346,208.81046,238.84808,246.65166,227.40810,217.91122,205.31387,203.29507,200.79605,200.85571,203.47404,221.51000,243.44228,256.14972,250.76550,245.88992,237.44102,222.56863,209.00742,205.78255,1005002,TH_NP15_GEN-APND,
2023-01-05,1005002,152.96965,146.95859,145.73969,148.75777,152.55524,164.59224,190.32945,194.22865,190.24785,178.36330,179.58807,174.81390,169.75755,166.93940,164.04224,184.70654,199.97899,207.00758,200.88670,198.44273,193.45544,180.96996,157.48960,156.88219,1005002,TH_NP15_GEN-APND,
2023-01-06,1005002,137.68973,136.53537,136.15090,136.59000,141.56886,166.59570,182.14316,177.57808,153.86812,130.43993,122.30168,117.26139,113.41063,112.22520,117.44056,144.71640,185.68633,202.12080,194.50320,187.02284,185.62917,175.51857,168.02441,152.30066,1005002,TH_NP15_GEN-APND,
2023-01-07,1005002,150.45154,151.54732,143.75906,149.35703,153.41385,159.97221,163.34216,155.52567,143.41507,132.57259,130.34580,129.85477,130.09692,128.12080,132.02025,142.50340,166.07121,173.26189,168.68051,167.36140,166.26050,165.49431,153.11986,144.85365,1005002,TH_NP15_GEN-APND,
2023-01-08,1005002,139.18980,135.00000,138.92670,135.12305,134.67055,134.45995,136.42758,139.96822,132.36070,122.97631,109.34339,107.67198,103.16894,101.86299,108.38019,132.85432,162.25604,174.28310,167.42075,164.19960,162.46683,154.09923,142.86057,140.71860,1005002,TH_NP15_GEN-APND,
2023-01-09,1005002,136.59256,134.78413,131.87215,131.64754,132.50351,145.53346,157.49014,173.34390,165.33230,147.46278,151.61195,144.74461,144.05160,144.75957,152.22993,175.46655,181.87796,193.74808,181.38525,179.00052,175.12859,165.34620,157.24779,147.25525,1005002,TH_NP15_GEN-APND,
2023-01-10,1005002,138.24594,133.17151,131.06322,129.73712,133.06120,144.36166,167.71275,178.25424,172.95927,155.51012,143.75871,136.31865,130.88370,131.15997,130.59960,140.33112,176.55537,187.32120,181.94950,177.84097,173.76980,167.81000,157.99310,152.10123,1005002,TH_NP15_GEN-APND,
