"opr_date","trading_hub","renewable_type","market_run_id","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","he25"
2023-03-25,NP15,SOLAR,DAM,0,0,0,0,0,0,0,166,1171,1813,1928,1969,1953,1935,1903,1862,1817,1390,317,3,0,0,0,0,
2023-03-25,NP15,WIND,DAM,288,230,175,139,140,159,177,198,230,305,426,514,532,511,445,340,264,235,249,318,392,385,324,290,
2023-12-28,NP15,SOLAR,DAM,0,0,0,0,0,0,0,64,455,751,858,868,901,922,846,518,53,0,0,0,0,0,0,0,
2023-12-28,NP15,WIND,DAM,140,101,74,53,44,42,47,42,35,32,31,33,37,33,28,27,28,30,34,36,42,53,59,60,
2023-12-28,SP15,SOLAR,DAM,0,0,0,0,0,0,43,1877,5767,7505,8424,8642,8714,8490,7653,4324,364,0,0,0,0,0,0,0,
2023-12-28,SP15,WIND,DAM,257,248,277,307,271,198,128,75,46,31,27,27,28,32,29,26,29,40,52,58,64,78,94,109,
2023-12-31,NP15,SOLAR,DAM,0,0,0,0,0,0,0,30,224,356,381,390,372,368,330,197,21,0,0,0,0,0,0,0,
2023-12-31,NP15,WIND,DAM,86,72,45,28,21,16,15,13,10,10,12,17,23,27,29,26,21,21,29,39,56,78,86,80,
2023-12-31,SP15,SOLAR,DAM,0,0,0,0,0,0,29,1342,3567,4275,4256,4098,4062,3946,3522,1998,239,0,0,0,0,0,0,0,
2023-12-31,SP15,WIND,DAM,1664,1339,977,676,479,339,219,157,139,132,127,109,101,92,76,66,62,79,105,116,119,129,145,158,
2023-12-31,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,44,262,427,478,481,461,433,370,218,29,0,0,0,0,0,0,0,
2023-12-28,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,89,546,944,1083,1106,1112,1084,942,542,53,0,0,0,0,0,0,0,
2023-12-25,NP15,SOLAR,DAM,0,0,0,0,0,0,0,82,524,827,921,938,938,933,841,458,39,0,0,0,0,0,0,0,
2023-12-25,NP15,WIND,DAM,14,13,14,12,8,7,8,9,13,17,16,12,11,12,14,18,27,36,44,54,66,77,79,73,
2023-12-25,SP15,SOLAR,DAM,0,0,0,0,0,0,58,2339,6375,7787,8004,7908,8004,8085,7643,4334,375,0,0,0,0,0,0,0,
2023-12-25,SP15,WIND,DAM,160,141,128,150,172,169,144,102,74,59,49,56,76,87,80,81,118,172,228,265,292,364,425,401,
2023-12-25,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,110,565,913,1091,1154,1185,1151,987,553,46,0,0,0,0,0,0,0,
2023-12-23,NP15,SOLAR,DAM,0,0,0,0,0,0,0,95,539,779,834,859,891,973,954,581,52,0,0,0,0,0,0,0,
2023-12-23,NP15,WIND,DAM,234,197,188,232,265,253,218,171,134,102,75,63,53,43,31,25,25,26,23,20,17,19,21,19,
2023-12-23,SP15,SOLAR,DAM,0,0,0,0,0,0,47,2221,6004,7384,7912,8124,8332,8214,7496,4177,323,0,0,0,0,0,0,0,
2023-12-23,SP15,WIND,DAM,1403,1598,1828,1961,2000,1953,1829,1588,1241,904,665,552,544,570,592,633,715,767,689,546,420,316,241,204,
2023-12-23,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,126,629,956,1078,1136,1153,1153,1030,596,53,0,0,0,0,0,0,0,
2023-12-21,NP15,SOLAR,DAM,0,0,0,0,0,0,0,57,322,457,467,463,455,473,442,261,26,0,0,0,0,0,0,0,
2023-12-21,NP15,WIND,DAM,74,66,55,52,52,52,51,48,49,50,42,39,45,51,46,37,47,64,62,48,37,31,31,31,
2023-12-21,SP15,SOLAR,DAM,0,0,0,0,0,0,47,1303,3163,3860,4023,3959,3967,3938,3573,1992,168,0,0,0,0,0,0,0,
2023-12-21,SP15,WIND,DAM,256,241,221,222,253,299,372,437,487,551,613,640,634,640,632,619,644,662,683,722,752,762,754,704,
2023-12-21,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,53,236,342,373,369,368,370,339,202,25,0,0,0,0,0,0,0,
2023-12-19,NP15,SOLAR,DAM,0,0,0,0,0,0,0,62,305,572,712,756,736,698,603,337,68,0,0,0,0,0,0,0,
2023-12-19,NP15,WIND,DAM,475,442,402,362,331,300,270,252,238,218,198,195,203,210,208,181,143,130,138,157,176,200,225,254,
2023-12-19,SP15,SOLAR,DAM,0,0,0,0,0,0,29,1224,3572,5337,6051,6210,6102,5670,4420,2065,265,0,0,0,0,0,0,0,
2023-12-19,SP15,WIND,DAM,668,677,672,656,617,561,536,537,522,517,572,685,819,935,972,886,756,649,574,528,492,483,486,494,
2023-12-19,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,66,319,599,746,798,784,723,572,289,54,0,0,0,0,0,0,0,
2023-12-17,NP15,SOLAR,DAM,0,0,0,0,0,0,0,62,275,469,541,567,563,517,400,192,32,0,0,0,0,0,0,0,
2023-12-17,NP15,WIND,DAM,44,51,62,66,57,42,36,35,33,39,38,30,32,38,35,32,40,53,66,65,59,66,64,60,
2023-12-17,SP15,SOLAR,DAM,0,0,0,0,0,0,98,2306,6070,7901,8274,8232,8104,7860,6410,3152,456,0,0,0,0,0,0,0,
2023-12-17,SP15,WIND,DAM,203,207,222,231,240,245,235,229,224,199,167,146,121,99,88,81,84,94,99,99,93,83,81,83,
2023-12-17,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,88,358,626,759,784,741,629,450,214,37,0,0,0,0,0,0,0,
2023-12-15,NP15,SOLAR,DAM,0,0,0,0,0,0,0,154,614,966,1051,1046,1020,991,846,461,91,0,0,0,0,0,0,0,
2023-12-15,NP15,WIND,DAM,64,55,52,53,57,63,70,78,83,70,50,39,33,29,27,27,36,49,58,58,54,50,44,38,
2023-12-15,SP15,SOLAR,DAM,0,0,0,0,0,0,106,2389,6211,8130,8628,8623,8525,8171,6770,3392,503,0,0,0,0,0,0,0,
2023-12-15,SP15,WIND,DAM,362,369,365,359,371,403,442,467,462,463,483,505,509,506,494,458,454,491,498,475,451,425,385,344,
2023-12-15,ZP26,SOLAR,DAM,0,0,0,0,0,0,0,190,721,1126,1248,1264,1239,1171,972,517,98,0,0,0,0,0,0,0,
2023-12-13,NP15,SOLAR,DAM,0,0,0,0,0,0,0,229,858,1263,1270,1227,1243,1298,1192,666,131,0,0,0,0,0,0,0,
2023-12-13,NP15,WIND,DAM,127,109,98,92,90,88,81,71,64,56,41,29,24,18,13,12,13,12,9,7,7,7,7,9,
2023-12-13,SP15,SOLAR,DAM,0,0,0,0,0,0,146,2825,7159,9137,9347,9290,9316,9341,8126,4191,639,0,0,0,0,0,0,0,
