"opr_date","nodename","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","updated_at"
2024-02-21,BPAT,6173.20,6071.10,6018.60,6047.20,6353.80,6784.40,7379.80,7744.20,7620.90,7600.70,7522.00,7309.00,7143.50,7017.20,6916.30,6846.60,6969.80,7215.50,7423.70,7354.20,7190.70,6879.40,6525.90,6253.50,2024-02-21 05:23:44.163 -0800
2024-02-21,BANC,1548.15,1501.45,1493.95,1540.10,1638.75,1813.95,1947.15,1952.40,1928.35,1870.90,1798.10,1755.50,1753.20,1768.35,1770.70,1818.10,1906.80,1997.85,1981.50,1949.45,1860.30,1744.25,1638.75,1586.70,2024-02-21 05:23:44.163 -0800
2024-02-21,SDGE-TAC,2112.70,2060.60,2000.50,1944.10,1923.60,1967.20,2183.60,2242.60,2166.10,1893.90,1426.10,1467.70,1434.80,1522.90,1685.40,1924.10,2160.30,2416.70,2601.30,2543.30,2462.90,2356.80,2178.40,2039.40,2024-02-21 05:23:44.163 -0800
2024-02-21,SRP,2520.80,2468.80,2473.90,2550.00,2708.00,2982.90,3082.60,3026.80,2844.70,2792.20,2845.40,2826.70,2852.00,2823.90,2857.80,2922.90,3048.60,3161.30,3238.30,3205.40,3128.30,2935.60,2760.10,2634.10,2024-02-21 05:23:44.163 -0800
2024-02-21,EPE,676.29,665.77,666.85,687.34,741.33,817.16,827.48,799.38,768.78,748.33,746.66,755.12,775.73,807.36,839.47,874.26,905.94,961.49,952.08,917.80,870.04,805.22,744.27,705.94,2024-02-21 05:23:44.163 -0800
2024-02-21,TEPC,979.15,951.35,981.05,999.65,1089.20,1200.75,1263.85,1190.00,1027.00,917.85,903.10,862.45,880.90,918.00,1000.10,1069.20,1173.65,1241.30,1255.65,1227.30,1185.05,1115.90,1043.00,998.35,2024-02-21 05:23:44.163 -0800
2024-02-21,SCL,923.77,890.68,872.27,892.06,917.08,1012.96,1143.21,1236.55,1264.05,1273.79,1243.33,1226.73,1182.11,1172.02,1183.14,1196.70,1220.81,1237.38,1251.29,1224.93,1183.42,1133.05,1054.14,992.46,2024-02-21 05:23:44.163 -0800
2024-02-21,PACW,2141.74,2088.11,2074.07,2082.31,2180.27,2422.33,2694.23,2885.62,2857.52,2807.17,2720.85,2667.35,2624.67,2599.89,2574.52,2546.13,2591.92,2709.03,2777.33,2726.99,2667.87,2531.23,2372.57,2247.52,2024-02-21 05:23:44.163 -0800
2024-02-21,IPCO,1663.50,1703.00,1733.50,1776.70,1891.30,2025.70,2135.80,2144.10,2082.10,2060.90,2004.80,1920.10,1869.00,1860.30,1794.20,1785.10,1877.20,1988.50,2036.50,2005.70,1941.70,1839.00,1755.00,1711.80,2024-02-21 05:23:44.163 -0800
2024-02-21,PACNW,25661.31,25101.37,24868.42,25032.00,26019.37,27988.41,30607.85,32470.76,32481.28,32355.52,31939.60,31397.21,30803.89,30482.01,30100.69,29917.95,30639.92,31884.10,32385.68,31860.96,31037.14,29676.79,27919.53,26467.54,2024-02-21 05:23:44.163 -0800
2024-02-21,CA ISO-TAC,19651.63,18883.10,18318.22,18231.75,18758.55,19979.20,22014.10,22694.13,21836.83,19741.92,17682.95,17664.30,17384.97,17697.35,18392.50,19641.47,21266.72,23083.95,24582.72,24265.08,23720.28,22964.70,21594.30,20270.80,2024-02-21 05:23:44.163 -0800
2024-02-21,PNM,1396.50,1385.00,1384.20,1411.30,1479.60,1615.70,1622.60,1573.90,1490.20,1492.90,1344.50,1371.70,1384.40,1370.40,1405.10,1471.40,1538.10,1635.20,1648.90,1644.20,1599.90,1537.90,1474.80,1435.70,2024-02-21 05:23:44.163 -0800
2024-02-21,AZPS,2788.70,2730.60,2749.70,2839.20,3069.40,3383.00,3516.40,3249.40,3092.90,2625.70,2662.00,2582.60,2532.20,2635.80,2802.80,2969.80,3232.30,3494.60,3563.90,3516.90,3386.40,3186.70,2977.20,2843.60,2024-02-21 05:23:44.163 -0800
2024-02-21,PGE-TAC,8646.20,8377.90,8142.90,8065.30,8332.80,8927.00,9875.20,10250.00,9787.70,8579.80,7649.40,8241.40,7995.50,7945.30,8279.90,8769.60,9572.30,10364.90,11032.60,10873.30,10625.00,10231.30,9567.90,8997.70,2024-02-21 05:23:44.163 -0800
2024-02-21,LADWP,2309.30,2204.00,2136.00,2113.40,2168.10,2269.50,2448.70,2595.50,2631.20,2518.40,2495.10,2515.30,2510.50,2559.80,2561.40,2627.10,2670.80,2775.70,2855.00,2843.40,2797.20,2699.50,2565.70,2412.60,2024-02-21 05:23:44.163 -0800
2024-02-21,VEA-TAC,64.42,67.50,73.63,77.05,80.75,86.70,96.20,94.72,85.33,74.92,67.35,63.50,59.67,58.15,56.90,58.67,60.73,67.45,72.83,73.08,71.28,69.40,67.20,64.10,2024-02-21 05:23:44.163 -0800
2024-02-21,PGE,2243.98,2158.07,2151.68,2159.40,2226.58,2421.97,2686.35,2887.53,2897.25,2925.32,2887.26,2829.72,2809.40,2809.53,2794.14,2713.44,2794.55,2907.26,2961.58,2922.80,2860.27,2720.29,2547.46,2372.28,2024-02-21 05:23:44.163 -0800
2024-02-21,TPWR,458.83,441.60,435.90,447.87,460.57,509.73,563.30,602.90,609.27,609.77,598.57,600.33,594.67,583.00,578.53,576.80,586.77,620.63,636.70,626.23,609.63,577.47,529.03,499.20,2024-02-21 05:23:44.163 -0800
2024-02-21,AVA,1132.30,1112.40,1114.30,1113.30,1184.30,1299.50,1438.10,1530.40,1501.60,1513.90,1447.90,1457.70,1398.50,1368.80,1352.90,1337.30,1404.50,1483.00,1485.50,1451.70,1400.40,1321.30,1225.80,1150.80,2024-02-21 05:23:44.163 -0800
2024-02-21,SCE-TAC,8828.30,8377.10,8101.20,8145.30,8421.40,8998.30,9859.10,10106.80,9797.70,9193.30,8540.10,7891.70,7895.00,8171.00,8370.30,8889.10,9473.40,10234.90,10876.00,10775.40,10561.10,10307.20,9780.80,9169.60,2024-02-21 05:23:44.163 -0800
2024-02-21,NEVP,3527.30,3460.50,3438.60,3435.60,3517.20,3679.30,3840.40,3835.40,3829.90,3617.70,3558.00,3461.30,3460.30,3524.00,3590.50,3687.60,3850.80,4039.30,4150.50,4132.10,4072.50,3947.90,3793.10,3668.10,2024-02-21 05:23:44.163 -0800
2024-02-21,BCHA,7107.71,6883.41,6776.91,6763.16,6855.02,7205.18,7847.45,8507.36,8693.95,8727.62,8717.63,8666.75,8519.55,8457.20,8341.71,8331.75,8505.59,8849.16,8924.00,8748.51,8532.32,8238.67,7728.63,7268.48,2024-02-21 05:23:44.163 -0800
2024-02-21,TIDC,258.30,251.80,245.60,252.20,255.40,272.10,296.40,306.50,297.60,275.10,267.10,265.90,263.70,262.30,268.60,278.10,282.80,297.10,314.30,311.80,308.60,299.90,284.00,270.20,2024-02-21 05:23:44.163 -0800
2024-02-21,NWMT,1305.95,1305.45,1295.10,1316.80,1387.40,1493.80,1553.00,1561.30,1550.00,1485.35,1458.55,1428.15,1423.55,1412.85,1406.20,1415.20,1445.80,1514.80,1507.80,1483.40,1436.55,1366.30,1321.10,1303.20,2024-02-21 05:23:44.163 -0800
2024-02-21,PSEI,2510.33,2447.54,2396.10,2433.20,2563.06,2812.84,3166.61,3370.80,3404.64,3351.00,3338.69,3291.36,3238.94,3201.22,3159.03,3168.93,3242.99,3358.84,3381.28,3316.49,3214.28,3070.09,2859.89,2668.30,2024-02-21 05:23:44.163 -0800
2024-02-21,PACE,5147.50,5092.40,5085.50,5134.90,5360.10,5712.30,5987.60,6047.50,6062.70,6106.60,6050.10,6019.30,5940.20,5889.90,5859.20,5922.20,6053.30,6162.40,6164.80,6087.10,5901.60,5646.00,5412.70,5199.50,2024-02-21 05:23:44.163 -0800
2024-02-22,PGE-TAC,8733.80,8385.80,8238.40,8196.70,8415.60,9035.20,10019.70,10307.50,9750.80,8374.50,8062.10,7733.50,7615.50,7697.90,7722.40,8382.30,9290.80,10235.20,10950.60,10763.80,10532.80,10193.10,9583.00,8972.70,2024-02-22 06:22:05.829 -0800
2024-02-22,CA ISO-TAC,19776.46,18947.30,18246.84,18308.76,18732.80,20081.24,22352.20,22736.44,21341.87,18472.77,17619.96,16545.66,16800.11,17131.98,17666.30,19141.34,20935.84,22827.44,24425.76,24126.28,23577.89,22878.48,21544.12,20166.06,2024-02-22 06:22:05.829 -0800
2024-02-22,TEPC,981.95,980.70,989.45,1036.00,1126.20,1238.50,1274.50,1145.50,997.90,880.95,830.10,789.55,805.40,846.05,925.15,1021.80,1135.20,1213.70,1228.85,1201.90,1163.50,1103.70,1044.80,1007.60,2024-02-22 06:22:05.829 -0800
2024-02-22,PGE,2234.97,2170.70,2132.88,2153.35,2215.17,2406.63,2722.74,2862.81,2860.64,2778.84,2672.01,2564.18,2550.54,2534.34,2519.80,2510.53,2588.40,2748.28,2863.40,2846.61,2791.01,2689.52,2531.51,2371.13,2024-02-22 06:22:05.829 -0800
2024-02-22,BPAT,6159.50,6073.70,6031.70,6116.90,6340.40,6833.40,7460.10,7744.60,7665.80,7456.50,7114.10,6914.60,6781.50,6689.40,6551.60,6556.70,6707.10,7001.00,7280.30,7257.10,7125.20,6915.00,6644.00,6377.60,2024-02-22 06:22:05.829 -0800
2024-02-22,BCHA,6927.72,6750.14,6656.16,6639.17,6773.03,7099.50,7724.87,8366.38,8500.32,8494.23,8476.49,8424.69,8299.25,8096.54,7956.16,7958.51,8159.40,8505.26,8681.53,8587.95,8362.46,8083.95,7606.16,7254.93,2024-02-22 06:22:05.829 -0800
2024-02-22,PACW,2175.74,2126.14,2129.01,2168.34,2269.10,2532.85,2857.96,3017.38,2950.57,2809.87,2620.91,2517.88,2451.64,2405.52,2384.34,2365.31,2417.87,2584.19,2704.36,2674.95,2613.51,2497.58,2367.76,2256.73,2024-02-22 06:22:05.829 -0800
2024-02-22,PACNW,25541.96,24994.08,24796.40,25073.91,26038.05,28164.76,30901.31,32510.60,32429.98,31661.83,30622.49,29993.06,29491.99,28890.94,28380.31,28350.84,29113.47,30636.88,31575.29,31322.24,30629.78,29518.34,27963.85,26704.95,2024-02-22 06:22:05.829 -0800
2024-02-22,AZPS,2846.00,2848.60,2838.80,2939.80,3232.90,3572.10,3667.70,3439.90,2985.00,2693.80,2437.40,2332.00,2211.00,2367.00,2590.70,2877.80,3214.00,3465.50,3578.00,3553.00,3420.40,3208.60,2994.80,2862.70,2024-02-22 06:22:05.829 -0800
2024-02-22,SCE-TAC,8921.30,8494.40,8020.30,8145.40,8338.90,8928.60,9995.80,10060.70,9503.30,8458.90,7964.00,7402.60,7845.30,8025.70,8368.70,8876.10,9477.60,10137.30,10854.10,10791.30,10551.90,10296.60,9748.50,9079.10,2024-02-22 06:22:05.829 -0800
2024-02-22,IPCO,1703.40,1684.10,1725.70,1774.50,1898.00,2080.80,2179.80,2215.00,2096.10,1938.90,1869.20,1837.40,1826.60,1782.60,1763.10,1755.60,1836.60,1946.10,2001.20,1979.90,1923.80,1833.30,1760.70,1728.20,2024-02-22 06:22:05.829 -0800
2024-02-22,NEVP,3564.80,3507.50,3474.20,3492.90,3585.40,3753.80,3938.70,3928.80,3726.60,3594.10,3487.80,3359.80,3314.10,3355.20,3464.40,3589.60,3783.20,3999.00,4123.40,4114.30,4049.30,3934.70,3785.50,3656.90,2024-02-22 06:22:05.829 -0800
